iter	RMSE
0	0.9068567913
1	0.8246389716
2	0.7521285867
3	0.6857891359
4	0.6273922094
5	0.5759092108
6	0.5305226254
7	0.4908754407
8	0.4551293438
9	0.4232352768
10	0.39631298
11	0.3718323592
12	0.3506615438
13	0.3324400492
14	0.3170332701
15	0.3029767581
16	0.2908400005
17	0.2807601854
18	0.2721145205
19	0.264632044
20	0.2585185867
21	0.2530911102
22	0.2480756641
23	0.2442571483
24	0.2405311963
25	0.2370344144
26	0.2345659555
27	0.2320672756
28	0.2300696049
29	0.2283586388
30	0.2267937608
31	0.225333177
32	0.223954535
33	0.2229104741
34	0.2210517114
35	0.2191433761
36	0.2182079944
37	0.2173724845
38	0.2160369579
39	0.2150979552
40	0.2146165869
41	0.21378802
42	0.2133140414
43	0.2128163735
44	0.2120126853
45	0.2116049403
46	0.2111761771
47	0.2106752835
48	0.2103627792
49	0.2098622918
50	0.2093310994
51	0.2085340811
52	0.2077767177
53	0.2071932
54	0.2068470097
55	0.2065772294
56	0.2061732251
57	0.2057128749
58	0.2053723526
59	0.2047654026
60	0.204437503
61	0.2039525366
62	0.2035348728
63	0.203346097
64	0.2028912997
65	0.2027386495
66	0.2024385306
67	0.202182773
68	0.2020344443
69	0.2018735321
70	0.2016444609
71	0.2010678505
72	0.2008305275
73	0.2006831209
74	0.2004425016
75	0.2000454894
76	0.1998011869
77	0.1995315301
78	0.199326657
79	0.1990037303
80	0.1985902437
81	0.1984689516
82	0.198012307
83	0.1976917038
84	0.1970255986
85	0.1966449722
86	0.1961475873
87	0.1960396953
88	0.1957663707
89	0.1953643974
90	0.1950417909
91	0.1947956853
92	0.1944836081
93	0.194180692
94	0.1939615851
95	0.193744167
96	0.1935095688
97	0.1931157899
98	0.1929069711
99	0.1926948302
100	0.1924880196
101	0.192294175
102	0.1920928177
103	0.1918840924
104	0.1916666416
105	0.1914836408
106	0.1912346007
107	0.1908586568
108	0.1907460223
109	0.1903933999
110	0.1902061881
111	0.1900275556
112	0.1898459603
113	0.1894427567
114	0.1892311182
115	0.1891384749
116	0.1889896181
117	0.1887582887
118	0.1884896657
119	0.1883418881
120	0.1882459235
121	0.1879945569
122	0.1878048826
123	0.1875912928
124	0.187358423
125	0.1869380795
126	0.1867358817
127	0.1866376818
128	0.1865051006
129	0.1861735653
130	0.185824416
131	0.1856675133
132	0.1854403345
133	0.1852288608
134	0.1848185371
135	0.1847381302
136	0.1846254121
137	0.1844374389
138	0.1843132619
139	0.1842311472
140	0.1841254886
141	0.1839936585
142	0.1838668406
143	0.1837698477
144	0.1835972746
145	0.1834490749
146	0.1831744248
147	0.1828772374
148	0.1827532195
149	0.1826092546
150	0.1824323811
151	0.1823068588
152	0.1821762638
153	0.1820796383
154	0.1819461555
155	0.1818344265
156	0.1817063048
157	0.1815529733
158	0.1814304068
159	0.181356683
160	0.1812166671
161	0.1811456701
162	0.1810298605
163	0.1809599475
164	0.1808409763
165	0.1807608923
166	0.1806358704
167	0.1804033866
168	0.1800464986
169	0.1798032649
170	0.1797058638
171	0.1795165052
172	0.1794553433
173	0.1793622098
174	0.1791684204
175	0.1789672881
176	0.1787559143
177	0.1786742272
178	0.1784743628
179	0.1782720809
180	0.1780337219
181	0.1778769121
182	0.1777396803
183	0.177582394
184	0.177508068
185	0.1773820834
186	0.1772689738
187	0.1771347936
188	0.17690753
189	0.1766358223
190	0.1765718652
191	0.1764071205
192	0.1761082183
193	0.1759715657
194	0.1758555239
195	0.1757681658
196	0.1756418016
197	0.1755618231
198	0.1754546977
199	0.1753945734
200	0.175296035
201	0.1752048449
202	0.175133232
203	0.1749864507
204	0.1749253071
205	0.1747940743
206	0.1746488395
207	0.1745228989
208	0.1743616816
209	0.1742327049
210	0.1741048384
211	0.1739884946
212	0.1738807102
213	0.1737955823
214	0.1736369962
215	0.17348338
216	0.173408818
217	0.1733352218
218	0.1731935342
219	0.172952553
220	0.1728466995
221	0.1727384018
222	0.1726744176
223	0.1725798872
224	0.1724466569
225	0.1723688414
226	0.1723128172
227	0.1722242762
228	0.1720370626
229	0.1718664898
230	0.1718013635
231	0.1717345668
232	0.1716406102
233	0.1715809499
234	0.1714986374
235	0.171421256
236	0.1713275658
237	0.1711921584
238	0.1710208745
239	0.1708529948
240	0.1707261143
241	0.1706558306
242	0.1705796027
243	0.1704462035
244	0.1703640234
245	0.1702901884
246	0.1702092515
247	0.1700771565
248	0.1699535529
249	0.169891617
250	0.1697277876
251	0.1696580651
252	0.1695464383
253	0.169446867
254	0.1693260734
255	0.1692486449
256	0.1691822535
257	0.1690643532
258	0.1689921398
259	0.1688956349
260	0.1688312038
261	0.1687660814
262	0.1687026987
263	0.1686091803
264	0.1685742733
265	0.1685294238
266	0.1684778718
267	0.1683608691
268	0.1682785618
269	0.1682251591
270	0.1680828865
271	0.1679892252
272	0.1678917074
273	0.167853108
274	0.1677719068
275	0.1677278346
276	0.1676918393
277	0.1675856187
278	0.1674530581
279	0.167396808
280	0.1673538571
281	0.1672714325
282	0.1671290742
283	0.1670145615
284	0.1669219727
285	0.1668452237
286	0.1667425647
287	0.1666722676
288	0.1665905133
289	0.166533684
290	0.1664910306
291	0.1663258829
292	0.166243606
293	0.1661265228
294	0.1660756528
295	0.1659939416
296	0.1659335317
297	0.1658794962
298	0.1658350173
299	0.1657768782
