iter	Passed	Remaining
0	156	46706
1	160	23937
2	163	16231
3	167	12415
4	170	10035
5	172	8431
6	175	7339
7	177	6477
8	181	5877
9	184	5362
10	187	4939
11	190	4582
12	194	4289
13	197	4035
14	200	3818
15	204	3626
16	207	3455
17	210	3305
18	214	3171
19	217	3045
20	221	2937
21	224	2837
22	228	2746
23	230	2653
24	234	2575
25	237	2497
26	240	2429
27	243	2364
28	246	2302
29	249	2248
30	252	2191
31	256	2146
32	259	2101
33	263	2059
34	266	2015
35	269	1977
36	272	1936
37	276	1903
38	278	1866
39	282	1836
40	285	1801
41	289	1775
42	291	1743
43	295	1717
44	298	1689
45	301	1666
46	304	1641
47	308	1620
48	311	1593
49	314	1571
50	317	1548
51	320	1526
52	323	1505
53	325	1483
54	329	1468
55	332	1446
56	335	1431
57	338	1412
58	342	1397
59	344	1378
60	348	1364
61	350	1346
62	353	1331
63	356	1316
64	359	1300
65	362	1286
66	365	1271
67	369	1259
68	371	1243
69	375	1232
70	377	1218
71	381	1207
72	384	1194
73	386	1181
74	389	1169
75	392	1157
76	395	1145
77	398	1132
78	400	1121
79	403	1109
80	405	1097
81	408	1086
82	411	1074
83	413	1064
84	416	1053
85	418	1042
86	421	1032
87	424	1021
88	426	1011
89	429	1002
90	432	992
91	435	984
92	437	974
93	440	965
94	443	957
95	447	949
96	450	942
97	452	933
98	459	932
99	467	934
100	477	941
101	482	936
102	485	928
103	488	921
104	493	916
105	496	909
106	500	901
107	504	896
108	507	888
109	511	883
110	514	876
111	518	869
112	522	864
113	525	857
114	528	850
115	531	842
116	534	835
117	537	829
118	541	823
119	545	818
120	550	814
121	554	809
122	560	805
123	563	800
124	567	794
125	571	789
126	574	782
127	578	777
128	581	770
129	584	763
130	587	757
131	589	750
132	593	744
133	597	739
134	600	733
135	603	727
136	606	721
137	609	715
138	612	709
139	615	703
140	618	697
141	621	691
142	624	685
143	626	679
144	629	673
145	632	667
146	635	661
147	638	655
148	641	649
149	644	644
150	647	638
151	650	633
152	653	627
153	656	622
154	659	616
155	661	611
156	665	606
157	668	600
158	671	595
159	674	590
160	677	585
161	680	579
162	683	574
163	687	569
164	691	565
165	694	560
166	697	555
167	700	550
168	703	545
169	706	540
170	710	535
171	712	530
172	715	525
173	718	520
174	721	515
175	724	510
176	727	505
177	730	500
178	734	496
179	737	491
180	740	486
181	743	481
182	746	477
183	749	472
184	752	467
185	754	462
186	757	457
187	760	453
188	763	448
189	766	443
190	768	438
191	772	434
192	775	429
193	778	425
194	781	420
195	784	416
196	787	411
197	790	407
198	793	402
199	796	398
200	799	393
201	801	389
202	804	384
203	808	380
204	810	375
205	814	371
206	817	367
207	820	362
208	822	358
209	826	354
210	829	349
211	832	345
212	835	341
213	838	336
214	840	332
215	843	328
216	846	323
217	849	319
218	852	315
219	855	311
220	858	306
221	861	302
222	864	298
223	867	294
224	870	290
225	873	286
226	876	281
227	879	277
228	882	273
229	886	269
230	889	265
231	892	261
232	894	257
233	897	253
234	901	249
235	904	245
236	907	241
237	910	237
238	913	233
239	916	229
240	920	225
241	924	221
242	928	217
243	931	213
244	935	209
245	939	206
246	942	202
247	945	198
248	948	194
249	952	190
250	955	186
251	958	182
252	962	178
253	965	174
254	969	171
255	972	167
256	975	163
257	978	159
258	981	155
259	984	151
260	988	147
261	991	143
262	994	139
263	997	135
264	999	132
265	1002	128
266	1005	124
267	1008	120
268	1010	116
269	1013	112
270	1017	108
271	1020	105
272	1023	101
273	1026	97
274	1029	93
275	1031	89
276	1035	85
277	1038	82
278	1042	78
279	1044	74
280	1047	70
281	1050	67
282	1053	63
283	1056	59
284	1058	55
285	1061	51
286	1064	48
287	1067	44
288	1070	40
289	1074	37
290	1078	33
291	1081	29
292	1084	25
293	1087	22
294	1090	18
295	1093	14
296	1095	11
297	1098	7
298	1101	3
299	1104	0
