airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK,Bangalore,Early_Morning,1,Night,Mumbai,Economy,14.25,21,7212
SpiceJet,SG,Hyderabad,Evening,0,Night,Kolkata,Economy,1.75,7,5292
Vistara,UK,Bangalore,Morning,1,Evening,Delhi,Business,9.58,5,60553
Vistara,UK,Kolkata,Morning,1,Evening,Hyderabad,Economy,6.75,28,5760
Indigo,6E,Chennai,Early_Morning,0,Morning,Mumbai,Economy,2.0,4,10712
Air_India,AI,Delhi,Afternoon,1,Morning,Chennai,Business,20.42,5,45257
Vistara,UK,Chennai,Evening,1,Morning,Mumbai,Economy,18.42,20,5054
Air_India,AI,Bangalore,Morning,0,Afternoon,Delhi,Business,2.58,30,32923
Vistara,UK,Bangalore,Early_Morning,1,Night,Hyderabad,Economy,15.92,12,11383
Air_India,AI,Chennai,Night,1,Afternoon,Mumbai,Economy,16.5,18,4357
Vistara,UK,Bangalore,Evening,1,Evening,Hyderabad,Business,24.25,22,64025
Air_India,AI,Bangalore,Afternoon,1,Morning,Kolkata,Business,19.67,46,60508
Vistara,UK,Bangalore,Early_Morning,0,Morning,Mumbai,Economy,1.58,18,2150
Indigo,6E,Kolkata,Morning,1,Night,Delhi,Economy,9.58,4,31952
Air_India,AI,Hyderabad,Afternoon,1,Night,Delhi,Business,7.5,3,49063
Air_India,AI,Bangalore,Early_Morning,1,Afternoon,Mumbai,Economy,9.08,25,4946
Air_India,AI,Mumbai,Morning,1,Evening,Delhi,Business,9.42,40,44610
Vistara,UK,Mumbai,Night,1,Morning,Kolkata,Economy,10.83,34,5949
Vistara,UK,Mumbai,Night,1,Morning,Bangalore,Economy,14.92,15,10054
Air_India,AI,Delhi,Morning,1,Evening,Mumbai,Business,8.42,23,50969
GO_FIRST,G8,Mumbai,Afternoon,1,Evening,Hyderabad,Economy,7.08,15,4262
Air_India,AI,Bangalore,Evening,1,Morning,Delhi,Business,15.08,17,42521
Air_India,AI,Delhi,Morning,1,Morning,Bangalore,Business,25.0,34,35490
Vistara,UK,Hyderabad,Evening,2,Morning,Kolkata,Economy,15.08,20,9643
Vistara,UK,Mumbai,Night,1,Evening,Hyderabad,Economy,20.08,20,4099
Vistara,UK,Mumbai,Early_Morning,0,Morning,Delhi,Business,2.08,13,22140
Air_India,AI,Kolkata,Night,1,Night,Bangalore,Business,23.58,15,60978
Vistara,UK,Delhi,Early_Morning,1,Afternoon,Hyderabad,Economy,6.5,41,5549
Indigo,6E,Kolkata,Morning,1,Evening,Hyderabad,Economy,8.58,28,5070
Vistara,UK,Mumbai,Night,1,Evening,Kolkata,Economy,21.17,28,5949
Vistara,UK,Bangalore,Morning,1,Night,Hyderabad,Economy,9.42,15,16014
Vistara,UK,Mumbai,Morning,1,Night,Hyderabad,Business,12.5,33,66077
AirAsia,I5,Delhi,Night,1,Afternoon,Mumbai,Economy,14.25,43,2409
Vistara,UK,Chennai,Night,1,Night,Bangalore,Business,24.42,8,44144
Vistara,UK,Kolkata,Afternoon,1,Early_Morning,Mumbai,Economy,16.58,6,12210
Air_India,AI,Delhi,Early_Morning,1,Early_Morning,Chennai,Business,24.33,26,45257
